Tamanho,Repeticao,Fonte,Algoritmo,Tempo_s,CO2_kg
100,11,39,Dijkstra Min-Heap,0.001684427261352539,1.1334481701249943e-08
100,11,39,NetworkX Referencia,0.001071929931640625,8.436730690667798e-09
100,11,85,Dijkstra Classico,0.0014476776123046875,1.1031230176103879e-08
100,11,85,Dijkstra Min-Heap,0.0010983943939208984,8.817280526875188e-09
100,11,85,NetworkX Referencia,0.0006909370422363281,6.781733377179902e-09
100,11,52,Dijkstra Classico,0.0014243125915527344,1.0552043543220425e-08
100,11,52,Dijkstra Min-Heap,0.0011143684387207031,9.165152039555893e-09
100,11,52,NetworkX Referencia,0.0007417201995849609,7.1869677010148445e-09
100,11,41,Dijkstra Classico,0.0014562606811523438,1.0757654353437362e-08
100,11,41,Dijkstra Min-Heap,0.0011217594146728516,9.307533514144588e-09
100,11,41,NetworkX Referencia,0.0010306835174560547,8.142196438686338e-09
100,11,51,Dijkstra Classico,0.006326436996459961,5.6803458334859814e-08
100,11,51,Dijkstra Min-Heap,0.0017657279968261719,1.1499126115617246e-08
100,11,51,NetworkX Referencia,0.0006659030914306641,7.0750571860904175e-09
100,12,89,Dijkstra Classico,0.0014719963073730469,1.0945219859948385e-08
100,12,89,Dijkstra Min-Heap,0.001779317855834961,1.2488981108280598e-08
100,12,89,NetworkX Referencia,0.0009007453918457031,9.302745220142753e-09
100,12,37,Dijkstra Classico,0.0016052722930908203,1.184862319284897e-08
100,12,37,Dijkstra Min-Heap,0.0017588138580322266,1.1509081949108997e-08
100,12,37,NetworkX Referencia,0.0006732940673828125,7.280466958234329e-09
100,12,70,Dijkstra Classico,0.002295970916748047,1.4450209556437138e-08
100,12,70,Dijkstra Min-Heap,0.0019345283508300781,1.2965881999424329e-08
100,12,70,NetworkX Referencia,0.0010731220245361328,8.306586687844553e-09
100,12,16,Dijkstra Classico,0.0014340877532958984,1.0628649459899936e-08
100,12,16,Dijkstra Min-Heap,0.0011224746704101562,8.978892733067218e-09
100,12,16,NetworkX Referencia,0.0006470680236816406,6.989647381439574e-09
100,12,24,Dijkstra Classico,0.001493692398071289,1.108005659304052e-08
100,12,24,Dijkstra Min-Heap,0.0011363029479980469,9.312295593077437e-09
100,12,24,NetworkX Referencia,0.000713348388671875,6.993896298610468e-09
100,13,53,Dijkstra Classico,0.0014433860778808594,1.1527040673299228e-08
100,13,53,Dijkstra Min-Heap,0.0011286735534667969,9.296803769255451e-09
100,13,53,NetworkX Referencia,0.0009903907775878906,7.626169614874135e-09
100,13,85,Dijkstra Classico,0.0022301673889160156,1.433645881566381e-08
100,13,85,Dijkstra Min-Heap,0.003360748291015625,2.0060692295135906e-08
100,13,85,NetworkX Referencia,0.0007033348083496094,6.891052079089544e-09
100,13,48,Dijkstra Classico,0.0014407634735107422,1.0730997234143674e-08
100,13,48,Dijkstra Min-Heap,0.0011637210845947266,1.0445939407127766e-08
100,13,48,NetworkX Referencia,0.0007112026214599609,7.291557549626303e-09
100,13,86,Dijkstra Classico,0.0014505386352539062,1.0833048407463724e-08
100,13,86,Dijkstra Min-Heap,0.0012028217315673828,1.1125577016537469e-08
100,13,86,NetworkX Referencia,0.0008380413055419922,7.819305289325942e-09
100,13,95,Dijkstra Classico,0.001466512680053711,1.1304828041555823e-08
100,13,95,Dijkstra Min-Heap,0.0016341209411621094,1.1418167961062659e-08
100,13,95,NetworkX Referencia,0.000995635986328125,7.838185812911338e-09
100,14,22,Dijkstra Classico,0.002294778823852539,1.4397731284134805e-08
100,14,22,Dijkstra Min-Heap,0.0011222362518310547,9.319028383843687e-09
100,14,22,NetworkX Referencia,0.0007672309875488281,7.022904373079875e-09
100,14,78,Dijkstra Classico,0.0013775825500488281,1.0610843057144755e-08
100,14,78,Dijkstra Min-Heap,0.001168966293334961,9.28919622381885e-09
100,14,78,NetworkX Referencia,0.0007736682891845703,7.1706134708584355e-09
100,14,72,Dijkstra Classico,0.0014197826385498047,1.0876005906311374e-08
100,14,72,Dijkstra Min-Heap,0.0016252994537353516,1.178363220246759e-08
100,14,72,NetworkX Referencia,0.0010311603546142578,8.148926092078867e-09
100,14,38,Dijkstra Classico,0.0023114681243896484,1.4711357026909618e-08
100,14,38,Dijkstra Min-Heap,0.0017685890197753906,1.177149102054829e-08
100,14,38,NetworkX Referencia,0.0016560554504394531,1.2063864401969598e-08
100,14,51,Dijkstra Classico,0.001390218734741211,1.0409196690059657e-08
100,14,51,Dijkstra Min-Heap,0.0011315345764160156,9.185088499379346e-09
100,14,51,NetworkX Referencia,0.0010309219360351562,8.179501073856797e-09
100,15,70,Dijkstra Classico,0.0014605522155761719,1.0768069288106918e-08
100,15,70,Dijkstra Min-Heap,0.0013535022735595703,1.1196968310182103e-08
100,15,70,NetworkX Referencia,0.0006976127624511719,6.951111468248685e-09
100,15,0,Dijkstra Classico,0.0014796257019042969,1.2169124836862875e-08
100,15,0,Dijkstra Min-Heap,0.0016739368438720703,1.1176587567889779e-08
100,15,0,NetworkX Referencia,0.001028299331665039,7.99783604003855e-09
100,15,38,Dijkstra Classico,0.002632617950439453,2.0182916869694985e-08
100,15,38,Dijkstra Min-Heap,0.0011494159698486328,9.269988772834276e-09
100,15,38,NetworkX Referencia,0.0007026195526123047,7.306999424270641e-09
100,15,36,Dijkstra Classico,0.0014467239379882812,1.1230974460082257e-08
100,15,36,Dijkstra Min-Heap,0.0016393661499023438,1.1663570906200073e-08
100,15,36,NetworkX Referencia,0.0007212162017822266,7.560549539595173e-09
100,15,26,Dijkstra Classico,0.0014214515686035156,1.0764481479808257e-08
100,15,26,Dijkstra Min-Heap,0.001104116439819336,9.431248831765559e-09
100,15,26,NetworkX Referencia,0.0007424354553222656,7.078299411262317e-09
500,1,47,Dijkstra Classico,0.03834271430969238,1.9828002970632958e-07
500,1,47,Dijkstra Min-Heap,0.011280059814453125,6.0606849939012e-08
500,1,47,NetworkX Referencia,0.007931947708129883,4.491910833584442e-08
500,1,463,Dijkstra Classico,0.02290034294128418,1.2083667962871718e-07
500,1,463,Dijkstra Min-Heap,0.006806612014770508,3.8154919463060826e-08
500,1,463,NetworkX Referencia,0.004116058349609375,2.471423799440879e-08
500,1,433,Dijkstra Classico,0.023530960083007812,1.2366064595917576e-07
500,1,433,Dijkstra Min-Heap,0.007577657699584961,4.259868764631272e-08
500,1,433,NetworkX Referencia,0.004403114318847656,2.591824117789132e-08
500,1,424,Dijkstra Classico,0.022261857986450195,1.1767208705434216e-07
500,1,424,Dijkstra Min-Heap,0.008528709411621094,4.752661672083619e-08
500,1,424,NetworkX Referencia,0.006391763687133789,3.660243506560535e-08
500,1,414,Dijkstra Classico,0.06277155876159668,3.412402840183266e-07
500,1,414,Dijkstra Min-Heap,0.014319181442260742,7.770623883902397e-08
500,1,414,NetworkX Referencia,0.003916263580322266,2.3710031481811073e-08
500,2,169,Dijkstra Classico,0.0397336483001709,2.0685874025069446e-07
500,2,169,Dijkstra Min-Heap,0.008031368255615234,4.4776122021304655e-08
500,2,169,NetworkX Referencia,0.003833293914794922,2.3878008566999712e-08
500,2,62,Dijkstra Classico,0.02255415916442871,1.1882676955395047e-07
500,2,62,Dijkstra Min-Heap,0.00703883171081543,3.9808851879032586e-08
500,2,62,NetworkX Referencia,0.00410008430480957,2.4434287601825258e-08
500,2,21,Dijkstra Classico,0.04317760467529297,2.232837092990585e-07
500,2,21,Dijkstra Min-Heap,0.01340937614440918,7.165307379616154e-08
500,2,21,NetworkX Referencia,0.006493330001831055,3.617662161529149e-08
500,2,482,Dijkstra Classico,0.022620677947998047,1.1880681758106682e-07
500,2,482,Dijkstra Min-Heap,0.007139921188354492,4.0705086374745204e-08
500,2,482,NetworkX Referencia,0.003972768783569336,2.4037642542601638e-08
500,2,236,Dijkstra Classico,0.022040843963623047,1.1618787639273319e-07
500,2,236,Dijkstra Min-Heap,0.0067174434661865234,3.800395623820613e-08
500,2,236,NetworkX Referencia,0.004820823669433594,3.2697453092986013e-08
500,3,25,Dijkstra Classico,0.021879196166992188,1.1522484218245751e-07
500,3,25,Dijkstra Min-Heap,0.009070873260498047,5.0661452573319814e-08
500,3,25,NetworkX Referencia,0.006808757781982422,3.7629792860585845e-08
500,3,86,Dijkstra Classico,0.039977073669433594,2.0668801543313417e-07
500,3,86,Dijkstra Min-Heap,0.011897802352905273,6.363156871002625e-08
500,3,86,NetworkX Referencia,0.0038607120513916016,2.3467699530587412e-08
500,3,473,Dijkstra Classico,0.022032737731933594,1.170471639729918e-07
500,3,473,Dijkstra Min-Heap,0.007311344146728516,4.123760079621197e-08
500,3,473,NetworkX Referencia,0.0042858123779296875,2.5735714224755042e-08
500,3,293,Dijkstra Classico,0.02257680892944336,1.1920476303140712e-07
500,3,293,Dijkstra Min-Heap,0.006908893585205078,3.9115713509978773e-08
500,3,293,NetworkX Referencia,0.004028797149658203,2.5301222246430353e-08
500,3,221,Dijkstra Classico,0.06875038146972656,3.618223691182991e-07
500,3,221,Dijkstra Min-Heap,0.01118612289428711,6.015967574149353e-08
500,3,221,NetworkX Referencia,0.006738901138305664,3.753152351513131e-08
500,4,420,Dijkstra Classico,0.034571170806884766,1.8306103795092665e-07
500,4,420,Dijkstra Min-Heap,0.007055044174194336,3.988173660403431e-08
500,4,420,NetworkX Referencia,0.003848552703857422,2.363128703821298e-08
500,4,370,Dijkstra Classico,0.022473812103271484,1.19208846313597e-07
500,4,370,Dijkstra Min-Heap,0.007054328918457031,3.975255589228543e-08
500,4,370,NetworkX Referencia,0.003919363021850586,2.396065876472521e-08
500,4,202,Dijkstra Classico,0.023453950881958008,1.2294238806539647e-07
500,4,202,Dijkstra Min-Heap,0.006738901138305664,3.799096356723655e-08
500,4,202,NetworkX Referencia,0.006305217742919922,3.528135670216393e-08
500,4,254,Dijkstra Classico,0.038637638092041016,2.0062511449938244e-07
500,4,254,Dijkstra Min-Heap,0.012605905532836914,6.716634107702801e-08
500,4,254,NetworkX Referencia,0.004169940948486328,2.4705571368302203e-08
500,4,15,Dijkstra Classico,0.0223696231842041,1.1788212502002469e-07
500,4,15,Dijkstra Min-Heap,0.007141828536987305,4.0135869732682114e-08
500,4,15,NetworkX Referencia,0.003906726837158203,2.329754828070274e-08
500,5,195,Dijkstra Classico,0.0220639705657959,1.1635373870805109e-07
500,5,195,Dijkstra Min-Heap,0.007471561431884766,4.209740615077183e-08
500,5,195,NetworkX Referencia,0.003965616226196289,2.3732278400338452e-08
